id,word,word_nikud,category,transliteration,translation_en,audio_file,difficulty,tags,images
1,אני,אֲנִי,כינויי גוף,Ani,I,pronoun_ani.wav,1,כינויי_גוף,
2,אתה,אַתָּה,כינויי גוף,Atah,"You (m, sg)",pronoun_atah.wav,1,כינויי_גוף,
3,את,אַתְּ,כינויי גוף,At,"You (f, sg)",pronoun_at.wav,1,כינויי_גוף,
4,הוא,הוּא,כינויי גוף,Hu,He,pronoun_hu.wav,1,כינויי_גוף,
5,היא,הִיא,כינויי גוף,Hi,She,pronoun_hi.wav,1,כינויי_גוף,
6,אנחנו,אֲנַחְנוּ,כינויי גוף,Anachnu,We,pronoun_anachnu.wav,1,כינויי_גוף,
7,אתם,אַתֶּם,כינויי גוף,Atem,"You (m, pl)",pronoun_atem.wav,1,כינויי_גוף,
8,אתן,אַתֶּן,כינויי גוף,Aten,"You (f, pl)",pronoun_aten.wav,1,כינויי_גוף,
9,הם,הֵם,כינויי גוף,Hem,"They (m, pl)",pronoun_hem.wav,1,כינויי_גוף,
10,הן,הֵן,כינויי גוף,Hen,"They (f, pl)",pronoun_hen.wav,1,כינויי_גוף,
11,אחת,אַחַת,מספרים,Achat,One (f),number_1_f.wav,1,מספרים,
12,שתים,שְׁתַּיִם,מספרים,Shtayim,Two (f),number_2_f.wav,1,מספרים,
13,אדם,אָדֹם,צבעים,Adom,Red,color_adom.wav,1,צבעים,
14,כחל,כָּחֹל,צבעים,Kachol,Blue,color_kachol.wav,1,צבעים,
15,ירק,יָרֹק,צבעים,Yarok,Green,color_yarok.wav,1,צבעים,
16,צהב,צָהֹב,צבעים,Tzahov,Yellow,color_tzahov.wav,1,צבעים,
17,שחור,שָׁחוֹר,צבעים,Shachor,Black,color_shachor.wav,1,צבעים,
18,לבן,לָבָן,צבעים,Lavan,White,color_lavan.wav,1,צבעים,
19,מי,מִי,מילות שאלה,Mi,Who,question_mi.wav,1,מילות_שאלה,
20,מה,מָה,מילות שאלה,Ma,What,question_ma.wav,1,מילות_שאלה,
21,מתי,מָתַי,מילות שאלה,Matay,When,question_matay.wav,1,מילות_שאלה,
22,איפה,אֵיפֹה,מילות שאלה,Eifo,Where,question_eifo.wav,1,מילות_שאלה,
23,למה,לָמָּה,מילות שאלה,Lama,Why,question_lama.wav,1,מילות_שאלה,
24,איך,אֵיךְ,מילות שאלה,Eich,How,question_eich.wav,1,מילות_שאלה,
25,כמה,כַּמָּה,מילות שאלה,Kama,How much/many,question_kama.wav,1,מילות_שאלה,
26,גדול,גָּדוֹל,שמות תואר,Gadol,Big,adj_gadol.wav,2,שמות_תואר,
27,קטן,קָטָן,שמות תואר,Katan,Small,adj_katan.wav,2,שמות_תואר,
